symbol,entry_time,exit_time,exit_reason,pnl_usd,pnl_bps,pnl_percent,hold_duration_sec,spread_bps_entry,imbalance_entry,depth_5bps_entry,entry_fee,exit_fee,total_fee,strategy_params,label,exit_type
VETUSDT,2025-10-25 19:48:49.349102,2025-10-25 19:48:50.758989,TP,0.02893518518518401,5.787037037036801,0.05787037037036801,1.409887,5.785363031529991,0.3403285246175679,0.0,0.0,0.0,0.0,,1,TP
LINKUSDT,2025-10-25 19:48:50.147830,2025-10-25 19:48:52.398463,TP,0.027839643652555708,5.567928730511141,0.05567928730511141,2.250633,5.566379070413588,0.3747351517719741,0.0,0.0,0.0,0.0,,1,TP
AVAXUSDT,2025-10-25 19:48:51.537765,2025-10-25 19:48:54.070385,TP,0.025693730729696843,5.138746145939368,0.051387461459393685,2.53262,5.137426149498078,0.6589070063618279,0.0,0.0,0.0,0.0,,1,TP
NEARUSDT,2025-10-25 19:48:52.845192,2025-10-25 19:48:54.543940,TP,0.022007042253528477,4.401408450705695,0.044014084507056954,1.698748,4.40044004400587,0.38715028625217973,0.0,0.0,0.0,0.0,,1,TP
DOTUSDT,2025-10-25 19:48:54.754833,2025-10-25 19:49:19.801981,TIMEOUT,0.016345210853218207,3.269042170643641,0.032690421706436414,25.047148,3.268507926131361,0.5658046422949875,0.0,0.0,0.0,0.0,,0,TIMEOUT
AVAXUSDT,2025-10-25 19:49:21.619198,2025-10-25 19:49:22.648108,TP,0.025693730729696843,5.138746145939368,0.051387461459393685,1.02891,5.137426149498078,0.4749342695047049,0.0,0.0,0.0,0.0,,1,TP
NEARUSDT,2025-10-25 19:49:22.902520,2025-10-25 19:49:24.042545,TP,0.022016732716862393,4.4033465433724785,0.044033465433724786,1.140025,4.402377283732732,0.6747768045473437,0.0,0.0,0.0,0.0,,1,TP
DOTUSDT,2025-10-25 19:49:24.833307,2025-10-25 19:49:26.999956,TP,0.04903563255965462,9.807126511930925,0.09807126511930925,2.166649,3.268507926131361,0.42408042390139467,0.0,0.0,0.0,0.0,,1,TP
VETUSDT,2025-10-25 19:49:41.425583,2025-10-25 19:49:42.832163,TP,0.02891844997108037,5.783689994216075,0.05783689994216074,1.40658,5.782017924255331,0.37796169062668056,0.0,0.0,0.0,0.0,,1,TP
LINKUSDT,2025-10-25 19:49:41.686482,2025-10-25 19:49:43.087803,TP,0.027793218454701403,5.55864369094028,0.0555864369094028,1.401321,5.557099194221486,0.38478256256652005,0.0,0.0,0.0,0.0,,1,TP
