symbol,entry_time,exit_time,exit_reason,pnl_usd,pnl_bps,pnl_percent,hold_duration_sec,spread_bps_entry,imbalance_entry,depth_5bps_entry,entry_fee,exit_fee,total_fee,strategy_params,label,exit_type
DOTUSDT,2025-10-25 19:48:54.754833,2025-10-25 19:49:19.801981,TIMEOUT,0.016345210853218207,3.269042170643641,0.032690421706436414,25.047148,3.268507926131361,0.5658046422949875,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:51:54.840801,2025-10-25 19:52:19.908111,TIMEOUT,0.0,0.0,0.0,25.06731,3.262110585548491,0.46201402569273037,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:53:28.587941,2025-10-25 19:53:53.673826,TIMEOUT,0.0,0.0,0.0,25.085885,3.263175069342111,0.3989084902201168,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:54:01.309125,2025-10-25 19:54:26.382898,TIMEOUT,0.016323865491346554,3.264773098269311,0.03264773098269311,25.073773,3.264240248081899,0.37211766354158154,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:55:43.219124,2025-10-25 19:56:08.328120,TIMEOUT,0.016323865491346554,3.264773098269311,0.03264773098269311,25.108996,3.264240248081899,0.3087018840118905,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:57:55.199519,2025-10-25 19:58:20.232912,TIMEOUT,0.016318537859006034,3.2637075718012074,0.032637075718012075,25.033393,3.263175069342111,0.7052209496000493,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:58:25.197280,2025-10-25 19:58:50.250717,TIMEOUT,0.016318537859006034,3.2637075718012074,0.032637075718012075,25.053437,3.263175069342111,0.31889094253326233,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:59:25.400220,2025-10-25 19:59:50.446172,TIMEOUT,0.0,0.0,0.0,25.045952,3.263175069342111,0.3507089120370371,0.0,0.0,0.0,0.0,,0,TIMEOUT
AVAXUSDT,2025-10-25 19:59:41.610187,2025-10-25 20:00:06.696919,TIMEOUT,0.0,0.0,0.0,25.086732,5.129520389844353,0.27289778633042666,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 19:59:55.631069,2025-10-25 20:00:20.673775,TIMEOUT,0.0,0.0,0.0,25.042706,3.264240248081899,0.3462584537315067,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:01:25.749525,2025-10-25 20:01:50.825540,TIMEOUT,0.0,0.0,0.0,25.076015,3.263175069342111,0.5119771593905598,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:03:14.968931,2025-10-25 20:03:40.005367,TIMEOUT,0.0,0.0,0.0,25.036436,3.2653061224500703,0.5872694341587816,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:03:45.061259,2025-10-25 20:04:10.103661,TIMEOUT,0.01633453119895279,3.266906239790558,0.03266906239790558,25.042402,3.266372693123926,0.6765607919935418,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:06:48.533537,2025-10-25 20:07:13.626161,TIMEOUT,0.016318537859006034,3.2637075718012074,0.032637075718012075,25.092624,3.263175069342111,0.606355107565614,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:07:18.534444,2025-10-25 20:07:43.637754,TIMEOUT,0.016318537859006034,3.2637075718012074,0.032637075718012075,25.10331,3.263175069342111,0.606355107565614,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:08:48.466930,2025-10-25 20:09:13.497615,TIMEOUT,0.016291951775820948,3.2583903551641895,0.032583903551641896,25.030685,3.257859586251474,0.5069464297389497,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:11:19.534893,2025-10-25 20:11:44.638251,TIMEOUT,0.016276041666664874,3.2552083333329747,0.03255208333332975,25.103358,3.2546786004878436,0.6816102660166516,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:12:19.570484,2025-10-25 20:12:44.660480,TIMEOUT,0.0,0.0,0.0,25.089996,3.253619651862339,0.6816102660166516,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:17:25.162470,2025-10-25 20:17:50.278766,TIMEOUT,0.016291951775820948,3.2583903551641895,0.032583903551641896,25.116296,3.257859586251474,0.4100491839569825,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:17:55.166729,2025-10-25 20:18:20.271008,TIMEOUT,0.0,0.0,0.0,25.104279,3.257859586251474,0.6262054609617668,0.0,0.0,0.0,0.0,,0,TIMEOUT
DOTUSDT,2025-10-25 20:18:25.270901,2025-10-25 20:18:50.369742,TIMEOUT,0.016297262059972128,3.259452411994426,0.03259452411994426,25.098841,3.258921297050317,0.391882200008965,0.0,0.0,0.0,0.0,,0,TIMEOUT
