symbol,entry_time,exit_time,exit_reason,pnl_usd,pnl_bps,pnl_percent,hold_duration_sec,spread_bps_entry,imbalance_entry,depth_5bps_entry,entry_fee,exit_fee,total_fee,strategy_params,label,exit_type
DOTUSDT,2025-10-25 20:02:44.827711,2025-10-25 20:03:07.986031,SL,-0.03263707571801932,-6.527415143603863,-0.06527415143603864,23.15832,3.263175069342111,0.40362762492283927,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 20:04:15.151018,2025-10-25 20:04:25.082938,SL,-0.03266906239790558,-6.533812479581116,-0.06533812479581116,9.93192,3.266372693123926,0.4840953649708425,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 20:34:59.267159,2025-10-25 20:35:01.866172,SL,-0.0325945241199515,-6.518904823990298,-0.06518904823990299,2.599013,3.258921297050317,0.48055833303216117,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 20:45:58.889938,2025-10-25 20:46:13.433125,SL,-0.032605151613958654,-6.521030322791731,-0.06521030322791731,14.543187,3.2599837000811407,0.5835010969481247,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 20:59:26.814848,2025-10-25 20:59:30.698337,SL,-0.048907727420934355,-9.781545484186871,-0.09781545484186871,3.883489,3.2599837000811407,0.6046547298508482,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 21:04:17.128236,2025-10-25 21:04:41.680175,SL,-0.03264773098270035,-6.529546196540072,-0.06529546196540072,24.551939,3.264240248081899,0.2781340483721627,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 21:06:49.840471,2025-10-25 21:07:04.522511,SL,-0.03265839320705062,-6.531678641410124,-0.06531678641410124,14.68204,3.2653061224500703,0.6310845034425607,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 21:31:42.527433,2025-10-25 21:32:05.092033,SL,-0.032456994482307364,-6.491398896461472,-0.06491398896461473,22.5646,3.2451728054515327,0.26298197493750586,0.0,0.0,0.0,0.0,,0,SL
LINKUSDT,2025-10-25 21:31:50.216446,2025-10-25 21:32:04.807129,SL,-0.055279159756770516,-11.055831951354104,-0.11055831951354105,14.590683,5.526388505112774,0.458557896845459,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-25 21:41:02.631813,2025-10-25 21:41:12.260097,SL,-0.04357298474945054,-8.714596949890108,-0.08714596949890108,9.628284,4.3563493792197345,0.48469531118285075,0.0,0.0,0.0,0.0,,0,SL
